login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
mosh-hamedani,mosh-hamedani/angular-education,2017-08-10T05:30:30Z,22,22,,True,True,
mosh-hamedani,mosh-hamedani/angular2-course,2016-02-15T22:59:37Z,130,130,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/angularfire2,2016-09-06T00:06:45Z,15,15,TypeScript,True,True,mit
mosh-hamedani,mosh-hamedani/AngularJS2-Learning,2017-08-10T05:41:03Z,28,28,,True,True,
mosh-hamedani,mosh-hamedani/awesome-angular,2017-08-10T05:45:49Z,35,35,HTML,True,True,cc0-1.0
mosh-hamedani,mosh-hamedani/followers-app,2017-07-25T21:30:16Z,14,14,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/game-hub,2023-03-07T16:02:30Z,274,274,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/game-hub-part2-finish,2023-04-17T12:45:04Z,46,46,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/issue-tracker,2023-10-04T17:09:30Z,219,219,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/javascript-testing-finish,2024-01-11T19:43:50Z,27,27,JavaScript,True,False,
mosh-hamedani,mosh-hamedani/javascript-testing-starter,2023-12-20T17:49:51Z,37,37,JavaScript,True,False,
mosh-hamedani,mosh-hamedani/jupiter,2020-09-07T21:43:37Z,6,6,,True,True,
mosh-hamedani,mosh-hamedani/mosh-hamedani.github.io,2017-07-25T02:48:21Z,25,25,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/next-course,2023-09-06T15:42:03Z,199,199,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/organic-shop,2017-08-28T19:40:23Z,196,196,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/python-projects-for-beginners,2024-08-29T17:14:21Z,73,73,Python,True,False,
mosh-hamedani,mosh-hamedani/python-supplementary-materials,2024-07-16T22:44:04Z,23,23,,True,True,
mosh-hamedani,mosh-hamedani/react-course-part1,2023-03-08T17:58:11Z,498,498,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/react-course-part2-finish,2023-04-17T12:38:25Z,44,44,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/react-course-part2-starter,2023-04-17T12:37:33Z,63,63,TypeScript,True,True,
mosh-hamedani,mosh-hamedani/react-testing-finish,2024-01-30T17:23:46Z,48,48,TypeScript,True,False,
mosh-hamedani,mosh-hamedani/react-testing-starter,2024-01-29T20:30:40Z,60,60,TypeScript,True,False,
mosh-hamedani,mosh-hamedani/udemy-backbonejs-tutorial,2015-02-06T08:07:20Z,16,16,CSS,True,True,
mosh-hamedani,mosh-hamedani/vega,2017-03-22T01:13:11Z,169,169,C#,True,True,
mosh-hamedani,mosh-hamedani/vidly-api-node,2018-07-19T20:39:41Z,307,307,JavaScript,True,True,
mosh-hamedani,mosh-hamedani/vidly-mvc-5,2016-03-31T06:37:00Z,956,956,JavaScript,True,True,
mosh-hamedani,mosh-hamedani/xdeploy,2017-07-25T21:11:09Z,5,5,TypeScript,True,True,
TheCherno,TheCherno/AnimatedSpriteCompression,2016-08-10T05:59:59Z,19,19,C,True,True,apache-2.0
TheCherno,TheCherno/Beneath,2014-04-30T11:05:50Z,9,9,Java,True,True,gpl-3.0
TheCherno,TheCherno/box2d,2020-07-03T06:19:58Z,29,29,C++,True,False,mit
TheCherno,TheCherno/Cherno,2014-04-09T11:27:58Z,76,76,Java,True,False,gpl-3.0
TheCherno,TheCherno/ChernoChat,2013-07-24T11:11:50Z,96,96,Java,True,True,
TheCherno,TheCherno/ChernoCraft,2014-09-11T03:48:31Z,122,122,C++,True,True,gpl-3.0
TheCherno,TheCherno/DocumentationWebsite,2022-02-23T00:24:12Z,24,24,,True,True,
TheCherno,TheCherno/Evacuate,2014-09-03T07:57:38Z,6,6,JavaScript,True,True,
TheCherno,TheCherno/EventSystem,2015-10-09T09:14:25Z,23,23,Java,True,True,unlicense
TheCherno,TheCherno/Flappy,2015-02-23T02:08:47Z,143,143,Java,True,True,gpl-3.0
TheCherno,TheCherno/Flinty,2016-07-29T07:14:41Z,34,34,C,True,True,apache-2.0
TheCherno,TheCherno/GameProgramming,2015-11-06T07:18:08Z,73,73,Java,True,True,
TheCherno,TheCherno/Genesis,2016-05-28T06:22:12Z,33,33,Java,True,True,
TheCherno,TheCherno/Genesis-Remake,2024-04-20T03:20:29Z,86,86,C++,True,True,
TheCherno,TheCherno/glfw,2018-11-09T23:31:48Z,96,96,C,True,True,zlib
TheCherno,TheCherno/Growth,2015-12-13T10:28:40Z,13,13,Java,True,True,
TheCherno,TheCherno/Hazel,2018-10-20T03:31:42Z,11698,11698,C++,True,True,apache-2.0
TheCherno,TheCherno/Hazel1HourGame,2019-12-06T22:40:04Z,153,153,C++,True,True,apache-2.0
TheCherno,TheCherno/HazelAudio,2020-04-27T06:47:02Z,82,82,C++,True,True,apache-2.0
TheCherno,TheCherno/HazelLua,2020-05-07T05:34:51Z,42,42,C++,True,True,
TheCherno,TheCherno/imgui,2018-12-04T23:33:06Z,92,92,C++,True,True,mit
TheCherno,TheCherno/ImGuizmo,2020-10-22T04:52:03Z,42,42,C++,True,True,mit
TheCherno,TheCherno/JavaSerialization,2016-03-30T04:20:49Z,21,21,Java,True,True,
TheCherno,TheCherno/LD32,2015-04-18T00:47:18Z,13,13,C,True,True,apache-2.0
TheCherno,TheCherno/msdf-atlas-gen,2021-09-12T05:41:20Z,12,12,C++,True,False,mit
TheCherno,TheCherno/msdfgen,2021-09-12T04:59:03Z,9,9,C++,True,False,mit
TheCherno,TheCherno/OneHourParticleSystem,2020-02-19T23:06:30Z,118,118,C++,True,True,apache-2.0
TheCherno,TheCherno/OpenGL,2020-01-13T07:43:06Z,758,758,C++,True,True,apache-2.0
TheCherno,TheCherno/ProjectTemplate,2023-11-13T04:24:02Z,414,414,Lua,True,False,unlicense
TheCherno,TheCherno/RayTracing,2022-04-26T08:21:10Z,373,373,C++,True,True,mit
TheCherno,TheCherno/Shatter,2013-12-16T03:48:48Z,10,10,Java,True,True,
TheCherno,TheCherno/Sparky,2015-03-14T06:37:37Z,1096,1096,C++,True,True,apache-2.0
TheCherno,TheCherno/SparkyTEST,2015-02-15T05:12:33Z,19,19,C++,True,True,gpl-3.0
TheCherno,TheCherno/Walnut-Chat,2023-06-14T05:41:19Z,113,113,C++,True,False,mit
TheCherno,TheCherno/yaml-cpp,2020-10-21T01:59:32Z,25,25,C++,True,True,mit
haileys,haileys/2fa-demo,2012-03-23T09:52:40Z,3,3,Ruby,True,True,
haileys,haileys/6502,2011-01-02T07:55:12Z,16,16,Assembly,True,True,
haileys,haileys/7XX-rfc,2012-01-23T06:01:34Z,4,4,,True,True,
haileys,haileys/acorn-6to5,2015-01-17T13:40:17Z,1,1,JavaScript,True,True,mit
haileys,haileys/activejob,2014-05-18T15:01:49Z,0,0,Ruby,True,True,mit
haileys,haileys/advent2016,2016-12-03T15:32:04Z,1,1,Haskell,True,True,
haileys,haileys/aikona,2014-12-18T10:38:33Z,0,0,,True,True,
haileys,haileys/airsonic-refix,2024-05-17T11:24:46Z,0,0,,True,True,agpl-3.0
haileys,haileys/alias_blocker,2013-04-07T13:04:03Z,1,1,Ruby,True,True,wtfpl
haileys,haileys/aoc2017,2017-12-05T12:36:54Z,1,1,Rust,True,True,
haileys,haileys/api-badge,2017-02-16T23:24:02Z,2,2,JavaScript,True,True,
